question,filename,answer,source_image
27,cardiothoracic_Superior_vena_cava_2.jpeg,"Superior vena cava - 2 points",ctcardiothoracic30.jpeg
28,cardiothoracic_Right_sinus_of_Valsava.jpeg,"Right sinus of Valsava - 2 points",ctcardiothoracic36.jpeg
29,cardiothoracic_Anterior_leaflet_of_mitral_valve_2.jpeg,"Anterior leaflet of mitral valve - 2 points",ctcardiothoracic39.jpeg
30,cardiothoracic_Papillary_muscle_of_the_left_ventricle.jpeg,"Papillary muscle of the left ventricle - 2 points",ctcardiothoracic40.jpeg
31,cardiothoracic_Circumflex_branch_of_the_left_coronary_artery.jpeg,"Circumflex branch of the left coronary artery - 2 points",ctcardiothoracic45.jpeg
32,cardiothoracic_Left_atrial_appendage_2.jpeg,"Left atrial appendage - 2 points",ctcardiothoracic46.jpeg
33,cardiothoracic_Main_pulmonary_artery_3.jpeg,"Main pulmonary artery - 2 points",ctcardiothoracic53.jpeg
34,cardiothoracic_Thoracic_descending_aorta.jpeg,"Thoracic descending aorta - 2 points",ctcardiothoracic61.jpeg
35,cardiothoracic_Lingula_segment_of_left_upper_lobe.jpeg,"Lingula segment of left upper lobe - 2 points",ctcardiothoracic84.jpeg
36,cardiothoracic_Thoracic_oesophagus.jpeg,"Thoracic oesophagus - 2 points",ctcardiothoracic86.jpeg
37,cardiothoracic_Right_brachiocephalic_vein.jpeg,"Right brachiocephalic vein - 2 points",ctcardiothoracic90.jpeg
38,cardiothoracic_Left_brachiocephalic_vein_2.jpeg,"Left brachiocephalic vein - 2 points",ctcardiothoracic91.jpeg
39,cardiothoracic_Brachiocephalic_artery.jpeg,"Brachiocephalic artery - 2 points",ctcardiothoracic94.jpeg
40,cardiothoracic_Anterior_Basal_Segmental_Bronchus_Of_Right_Lower_Lobe.jpeg,"Anterior Basal Segmental Bronchus Of Right Lower Lobe - 2 points",ctcardiothoracic97.jpeg
41,cardiothoracic_Lateral_basal_segmental_bronchus_of_right_lower_lobe.jpeg,"Lateral basal segmental bronchus of right lower lobe - 2 points",ctcardiothoracic98.jpeg
42,cardiothoracic_Right_lower_lobe_superior_segmental_bronchus.jpeg,"Right lower lobe superior segmental bronchus - 2 points",ctcardiothoracic100.jpeg
43,cardiothoracic_Right_lateral_segmental_bronchus_of_middle_lobe.jpeg,"Right lateral segmental bronchus of middle lobe - 2 points",ctcardiothoracic101.jpeg
44,cardiothoracic_Left_anteromedial_basal_segmental_bronchus.jpeg,"Left anteromedial basal segmental bronchus - 2 points",ctcardiothoracic110.jpeg
45,cardiothoracic_Left_lower_lobe_anterior_segmental_bronchus.jpeg,"Left lower lobe anterior segmental bronchus - 2 points",ctcardiothoracic111.jpeg
46,cardiothoracic_Right_main_coronary_artery.jpeg,"Right main coronary artery - 2 points",ctcardiothoracic111.jpeg
47,cardiothoracic_Lingular_Segment_Of_Left_Upper_Lobe.jpeg,"Lingular Segment Of Left Upper Lobe - 2 points",ctcardiothoracic114.jpeg
48,cardiothoracic_Right_superior_lobar_pulmonary_artery_2.jpeg,"Right superior lobar pulmonary artery - 2 points",ctcardiothoracic117.jpeg
49,cardiothoracic_Aortic_valves.jpeg,"Aortic valves - 2 points",ctcardiothoracic122.jpeg
50,cardiothoracic_Left_brachiocephalic_vein_3.jpeg,"Left brachiocephalic vein - 2 points",ctcardiothoracic122.jpeg
51,cardiothoracic_Left_superior_pulmonary_vein.jpeg,"Left superior pulmonary vein - 2 points",ctcardiothoracic149.jpeg
52,cardiothoracic_Right_axillary_vein.jpeg,"Right axillary vein - 2 points",ctcardiothoracic149.jpeg
53,cardiothoracic_Azygos_arch.jpg,"Azygos arch - 2 points",ctcardiothoracic151.jpg
54,cardiothoracic_Hemiazygos_vein.jpeg,"Hemiazygos vein - 2 points",ctcardiothoracic153.jpeg
55,cardiothoracic_Right_paravertebral_stripe.jpeg,"Right paravertebral stripe - 2 points",ctcardiothoracic154.jpeg
56,cardiothoracic_Azygos_fissure.jpeg,"Azygos fissure - 2 points",xraycardiothoracic46.jpeg
57,cardiothoracic_Right_sided_aortic_arch_with_aberrant_left_subclavian_artery.jpeg,"Right sided aortic arch with aberrant left subclavian artery - 2 points",xraycardiothoracic48.jpeg
58,cardiothoracic_Tracheal_bronchus.jpeg,"Tracheal bronchus - 2 points",ctcardiothoracic161.jpeg
